LemonEntry,partOfSpeech,writtenForm (singular),writtenForm (plural),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range,GrammarRule1:question1,SPARQL,GrammarRule1: question2,SPARQL Question 2,GrammarRule 1: questions,SPARQL ,NP (Grammar Rule 2),,grammar rules,numberOfQuestions
nationality_of,noun,nationality,-,of,NounPPFrame,range,domain,1,dbo:nationality,dbo:Person,dbo:Country,"What (dbo:Country, X) is the nationality/- of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:nationality ?X.},FALSE,FALSE,"List the (dbo:Country, X) - of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:nationality ?X.},"the nationality of (dbo:Person,Y) ",,2,
editor_of,noun,editor,editors,of,NounPPFrame,range,domain,1,dbo:editor,dbo:Work,dbo:Person,"What (dbo:Person, X) is the editor/editors of (dbo:Work,Y?) ",SELECT ?X WHERE { Y dbo:editor ?X.},"Who (dbo:Person, X) is the editor of (dbo:Work,Y?) (X dbo:editor Y)",SELECT ?X WHERE { Y dbo:editor ?X.},"List the (dbo:Person, X) editors of (dbo:Work,Y?) ",SELECT ?X WHERE { Y dbo:editor ?X.},"the editor of (dbo:Work,Y) ",,2,
creator_of,noun,creator,creators,of,NounPPFrame,range,domain,1,dbo:creator,dbo:Person,dbo:Agent,"What (dbo:Agent, X) is the creator/creators of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:creator ?X.},FALSE,FALSE,"List the (dbo:Agent, X) creators of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:creator ?X.},"the creator of (dbo:Person,Y) ",,2,
capital-of,noun,capital,-,of,NounPPFrame,range,domain,1,dbo:capital,dbo:Country,dbo:City,"What (dbo:City, X) is the capital/- of (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:capital ?X.},FALSE,FALSE,"List the (dbo:City, X) - of (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:capital ?X.},"the capital of (dbo:Country,Y) ",,2,
city-of,noun,city,cities,of,NounPPFrame,range,domain,1,dbo:city,dbo:Country,dbo:City,"What (dbo:City, X) is the city/cities of (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:city ?X.},FALSE,FALSE,"List the (dbo:City, X) cities of (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:city ?X.},"the city of (dbo:Country,Y) ",,2,
formOfGovernment-of,noun,form of government,-,of,NounPPFrame,range,domain,1,dbo:governmentType,dbo:Country,dbo:GovernmentType,"What (dbo:GovernmentType, X) is the form of government/- of (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:governmentType ?X.},FALSE,FALSE,"List the (dbo:GovernmentType, X) - of (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:governmentType ?X.},"the form of government of (dbo:Country,Y) ",,2,
countryCode-of,noun,country code,-,of,NounPPFrame,range,domain,1,dbo:countryCode,dbo:Country,xsd:integer,"What (xsd:integer, X) is the country code/- of (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:countryCode ?X.},FALSE,FALSE,"List the (xsd:integer, X) - of (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:countryCode ?X.},"the country code of (dbo:Country,Y) ",,2,
assets-of,noun,assets,-,of,NounPPFrame,range,domain,1,dbo:assets,dbo:Company,xsd:double,"What (xsd:double, X) is the assets/- of (dbo:Company,Y?) ",SELECT ?X WHERE { Y dbo:assets ?X.},FALSE,FALSE,"List the (xsd:double, X) - of (dbo:Company,Y?) ",SELECT ?X WHERE { Y dbo:assets ?X.},"the assets of (dbo:Company,Y) ",,2,
subsidiary-of,noun,subsidiary,subsidiaries,of,NounPPFrame,range,domain,1,dbo:subsidiary,dbo:Company,dbo:Company,"What (dbo:Company, X) is the subsidiary/subsidiaries of (dbo:Company,Y?) ",SELECT ?X WHERE { Y dbo:subsidiary ?X.},FALSE,FALSE,"List the (dbo:Company, X) subsidiaries of (dbo:Company,Y?) ",SELECT ?X WHERE { Y dbo:subsidiary ?X.},"the subsidiary of (dbo:Company,Y) ",,2,
predecessor-of,noun,predecessor,-,of,NounPPFrame,range,domain,1,dbo:predecessor,dbo:Person,dbo:Politician,"What (dbo:Politician, X) is the predecessor/- of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:predecessor ?X.},FALSE,FALSE,"List the (dbo:Politician, X) - of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:predecessor ?X.},"the predecessor of (dbo:Person,Y) ",,2,
equity-of,noun,equity,-,of,NounPPFrame,range,domain,1,dbo:equity,dbo:Company,xsd:double,"What (xsd:double, X) is the equity/- of (dbo:Company,Y?) ",SELECT ?X WHERE { Y dbo:equity ?X.},FALSE,FALSE,"List the (xsd:double, X) - of (dbo:Company,Y?) ",SELECT ?X WHERE { Y dbo:equity ?X.},"the equity of (dbo:Company,Y) ",,2,
postalCode-of,noun,postal code,-,of,NounPPFrame,range,domain,1,dbo:postalCode,dbo:City,xsd:string,"What (xsd:string, X) is the postal code/- of (dbo:City,Y?) ",SELECT ?X WHERE { Y dbo:postalCode ?X.},FALSE,FALSE,"List the (xsd:string, X) - of (dbo:City,Y?) ",SELECT ?X WHERE { Y dbo:postalCode ?X.},"the postal code of (dbo:City,Y) ",,2,
populationTotal-of,noun,total population,-,of,NounPPFrame,range,domain,1,dbo:populationTotal,dbo:Place,xsd:nonNegativeInteger,"What (xsd:nonNegativeInteger, X) is the total population/- of (dbo:Place,Y?) ",SELECT ?X WHERE { Y dbo:populationTotal ?X.},FALSE,FALSE,"List the (xsd:nonNegativeInteger, X) - of (dbo:Place,Y?) ",SELECT ?X WHERE { Y dbo:populationTotal ?X.},"the total population of (dbo:Place,Y) ",,2,
completionDate-of,noun,completion date,-,of,NounPPFrame,range,domain,1,dbo:completionDate,dbo:TelevisionShow,xsd:date,"What (xsd:date, X) is the completion date/- of (dbo:TelevisionShow,Y?) ",SELECT ?X WHERE { Y dbo:completionDate ?X.},FALSE,FALSE,"List the (xsd:date, X) - of (dbo:TelevisionShow,Y?) ",SELECT ?X WHERE { Y dbo:completionDate ?X.},"the completion date of (dbo:TelevisionShow,Y) ",,2,
nearestCity-to,noun,nearest city,nearest cities,to,NounPPFrame,range,domain,1,dbo:nearestCity,dbo:Place,dbo:PopulatedPlace,"What (dbo:PopulatedPlace, X) is the nearest city/nearest cities to (dbo:Place,Y?) ",SELECT ?X WHERE { Y dbo:nearestCity ?X.},FALSE,FALSE,"List the (dbo:PopulatedPlace, X) nearest cities to (dbo:Place,Y?) ",SELECT ?X WHERE { Y dbo:nearestCity ?X.},"the nearest city to (dbo:Place,Y) ",,2,
revenue-of,noun,revenue,-,of,NounPPFrame,range,domain,1,dbo:revenue,dbo:Organisation,xsd:double,"What (xsd:double, X) is the revenue/- of (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:revenue ?X.},FALSE,FALSE,"List the (xsd:double, X) - of (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:revenue ?X.},"the revenue of (dbo:Organisation,Y) ",,2,
keyPerson-of,noun,key person,key persons,of,NounPPFrame,range,domain,1,dbo:keyPerson,dbo:Organisation,dbo:Person,"What (dbo:Person, X) is the key person/key persons of (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:keyPerson ?X.},"Which person,Who (dbo:Person, X) is,was the key person of (dbo:Organisation,Y?) (X dbo:keyPerson Y)",SELECT ?X WHERE { Y dbo:keyPerson ?X.},"List the (dbo:Person, X) key persons of (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:keyPerson ?X.},"the key person of (dbo:Organisation,Y) ",,2,
formerName-of,noun,former name,-,of,NounPPFrame,range,domain,1,dbo:formerName,dbo:Organisation,rdf:langString,"What (rdf:langString, X) is the former name/- of (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:formerName ?X.},FALSE,FALSE,"List the (rdf:langString, X) - of (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:formerName ?X.},"the former name of (dbo:Organisation,Y) ",,2,
abbreviation-of,noun,abbrevation,-,of,NounPPFrame,range,domain,1,dbo:abbreviation,dbo:Organisation,xsd:string,"What (xsd:string, X) is the abbrevation/- of (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:abbreviation ?X.},FALSE,FALSE,"List the (xsd:string, X) - of (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:abbreviation ?X.},"the abbrevation of (dbo:Organisation,Y) ",,2,
formationDate-of,noun,formation date,-,of,NounPPFrame,range,domain,1,dbo:formationDate,dbo:Organisation,xsd:date,"What (xsd:date, X) is the formation date/- of (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:formationDate ?X.},FALSE,FALSE,"List the (xsd:date, X) - of (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:formationDate ?X.},"the formation date of (dbo:Organisation,Y) ",,2,
runtime-of,noun,runtime,-,of,NounPPFrame,range,domain,2,dbo:runtime,dbo:TelevisionShow,xsd:double,"What (xsd:double, X) is the runtime/- of (dbo:TelevisionShow,Y?) ",SELECT ?X WHERE { Y dbo:runtime ?X.},FALSE,FALSE,"List the (xsd:double, X) - of (dbo:TelevisionShow,Y?) ",SELECT ?X WHERE { Y dbo:runtime ?X.},"the runtime of (dbo:TelevisionShow,Y) ",,2,
associatedMusicalArtist-of,noun,associated musical artist ,associated musical artists,of,NounPPFrame,range,domain,1,dbo:associatedMusicalArtist,dbo:MusicalArtist,dbo:Person,-,SELECT ?X WHERE { Y dbo:associatedMusicalArtist ?X.},"Which person,Who (dbo:Person, X) is,was the associated musical artist  of (dbo:MusicalArtist,Y?) (X dbo:associatedMusicalArtist Y)",SELECT ?X WHERE { Y dbo:associatedMusicalArtist ?X.},"List the (dbo:Person, X) associated musical artists of (dbo:MusicalArtist,Y?) ",SELECT ?X WHERE { Y dbo:associatedMusicalArtist ?X.},"the associated musical artist  of (dbo:MusicalArtist,Y) ",,2,
artist-of,noun,artist,artists,of,NounPPFrame,range,domain,1,dbo:artist,dbo:MusicalWork,dbo:Agent,-,SELECT ?X WHERE { Y dbo:artist ?X.},FALSE,FALSE,"List the (dbo:Agent, X) artists of (dbo:MusicalWork,Y?) ",SELECT ?X WHERE { Y dbo:artist ?X.},"the artist of (dbo:MusicalWork,Y) ",,2,
buidlingEndDate-of,noun,building end date,building end dates,of,NounPPFrame,range,domain,1,dbo:buildingEndDate,dbo:Location,xsd:date,"What (xsd:date, X) is the building end date/building end dates of (dbo:Location,Y?) ",SELECT ?X WHERE { Y dbo:buildingEndDate ?X.},FALSE,FALSE,"List the (xsd:date, X) building end dates of (dbo:Location,Y?) ",SELECT ?X WHERE { Y dbo:buildingEndDate ?X.},"the building end date of (dbo:Location,Y) ",,2,
occupation-of,noun,occupation,occupations,of,NounPPFrame,range,domain,1,dbo:occupation,dbo:Person,dbo:PersonFunction,"What (dbo:PersonFunction, X) is the occupation/occupations of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:occupation ?X.},FALSE,FALSE,"List the (dbo:PersonFunction, X) occupations of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:occupation ?X.},"the occupation of (dbo:Person,Y) ",,2,
length_of,noun,length,-,of,NounPPFrame,range,domain,1,dbp:length,dbo:River,xsd:nonNegativeInteger,"What (xsd:nonNegativeInteger, X) is the length/- of (dbo:River,Y?) ",SELECT ?X WHERE { Y dbp:length ?X.},FALSE,FALSE,"List the (xsd:nonNegativeInteger, X) - of (dbo:River,Y?) ",SELECT ?X WHERE { Y dbp:length ?X.},"the length of (dbo:River,Y) ",,2,
opponent-of,noun,opponent,opponents,of,NounPPFrame,range,domain,1,dbo:opponent,dbo:Person,dbo:Person,-,SELECT ?X WHERE { Y dbo:opponent ?X.},"Which person,Who (dbo:Person, X) is,was the opponent of (dbo:Person,Y?) (X dbo:opponent Y)",SELECT ?X WHERE { Y dbo:opponent ?X.},"List the (dbo:Person, X) opponents of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:opponent ?X.},"the opponent of (dbo:Person,Y) ",,2,
showJudge-of,noun,show judge,show judges,of,NounPPFrame,range,domain,1,dbo:showJudge ,dbo:TelevisionShow,dbo:Person,-,SELECT ?X WHERE { Y dbo:showJudge  ?X.},"Which person,Who (dbo:Person, X) is,was the show judge of (dbo:TelevisionShow,Y?) (X dbo:showJudge  Y)",SELECT ?X WHERE { Y dbo:showJudge  ?X.},"List the (dbo:Person, X) show judges of (dbo:TelevisionShow,Y?) ",SELECT ?X WHERE { Y dbo:showJudge  ?X.},"the show judge of (dbo:TelevisionShow,Y) ",,2,
electoralDistrict-of,noun,electoral District,-,of,NounPPFrame,range,domain,1,dbo:region,dbo:Politician,dbo:Place,"What (dbo:Place, X) is the electoral District/- of (dbo:Politician,Y?) ",SELECT ?X WHERE { Y dbo:region ?X.},FALSE,FALSE,"List the (dbo:Place, X) - of (dbo:Politician,Y?) ",SELECT ?X WHERE { Y dbo:region ?X.},"the electoral District of (dbo:Politician,Y) ",,2,
releaseDate-of,noun,realease date,-,of,NounPPFrame,range,domain,2,dbo:releaseDate,dbo:Song,xsd:date,"What (xsd:date, X) is the realease date/- of (dbo:Song,Y?) ",SELECT ?X WHERE { Y dbo:releaseDate ?X.},FALSE,FALSE,"List the (xsd:date, X) - of (dbo:Song,Y?) ",SELECT ?X WHERE { Y dbo:releaseDate ?X.},"the realease date of (dbo:Song,Y) ",,2,
-,noun,release date,-,of,NounPPFrame,range,domain,1,dbo:releaseDate,dbo:Work,xsd:date,"What (xsd:date, X) is the release date/- of (dbo:Work,Y?) ",SELECT ?X WHERE { Y dbo:releaseDate ?X.},FALSE,FALSE,"List the (xsd:date, X) - of (dbo:Work,Y?) ",SELECT ?X WHERE { Y dbo:releaseDate ?X.},"the release date of (dbo:Work,Y) ",,2,
publicationDate-of,noun,publication date,-,of,NounPPFrame,range,domain,1,dbo:publicationDate,dbo:WrittenWork,xsd:date,"What (xsd:date, X) is the publication date/- of (dbo:WrittenWork,Y?) ",SELECT ?X WHERE { Y dbo:publicationDate ?X.},FALSE,FALSE,"List the (xsd:date, X) - of (dbo:WrittenWork,Y?) ",SELECT ?X WHERE { Y dbo:publicationDate ?X.},"the publication date of (dbo:WrittenWork,Y) ",,2,
numberOfPages-of,noun,number of pages,-,of,NounPPFrame,range,domain,1,dbo:numberOfPages,dbo:WrittenWork,xsd:positiveInteger,"What (xsd:positiveInteger, X) is the number of pages/- of (dbo:WrittenWork,Y?) ",SELECT ?X WHERE { Y dbo:numberOfPages ?X.},FALSE,FALSE,"List the (xsd:positiveInteger, X) - of (dbo:WrittenWork,Y?) ",SELECT ?X WHERE { Y dbo:numberOfPages ?X.},"the number of pages of (dbo:WrittenWork,Y) ",,2,
genre-of,noun,genre,genres,of,NounPPFrame,range,domain,1,dbo:genre,dbo:Work,dbo:Genre,"What (dbo:Genre, X) is the genre/genres of (dbo:Work,Y?) ",SELECT ?X WHERE { Y dbo:genre ?X.},FALSE,FALSE,"List the (dbo:Genre, X) genres of (dbo:Work,Y?) ",SELECT ?X WHERE { Y dbo:genre ?X.},"the genre of (dbo:Work,Y) ",,2,
composer-of,noun,composer,composers,of,NounPPFrame,range,domain,1,dbo:composer,dbo:Work,dbo:Person,-,SELECT ?X WHERE { Y dbo:composer ?X.},"Which person,Who (dbo:Person, X) is,was the composer of (dbo:Work,Y?) (X dbo:composer Y)",SELECT ?X WHERE { Y dbo:composer ?X.},"List the (dbo:Person, X) composers of (dbo:Work,Y?) ",SELECT ?X WHERE { Y dbo:composer ?X.},"the composer of (dbo:Work,Y) ",,2,
-,noun,composer,composers,of,NounPPFrame,range,domain,2,dbo:composer,dbo:TelevisionShow,xsd:string,-,SELECT ?X WHERE { Y dbo:composer ?X.},FALSE,FALSE,"List the (xsd:string, X) composers of (dbo:TelevisionShow,Y?) ",SELECT ?X WHERE { Y dbo:composer ?X.},"the composer of (dbo:TelevisionShow,Y) ",,2,
director-of,noun,director,directors,of,NounPPFrame,range,domain,1,dbo:director,dbo:Film,dbo:Person,-,SELECT ?X WHERE { Y dbo:director ?X.},"Which person,Who (dbo:Person, X) is,was the director of (dbo:Film,Y?) (X dbo:director Y)",SELECT ?X WHERE { Y dbo:director ?X.},"List the (dbo:Person, X) directors of (dbo:Film,Y?) ",SELECT ?X WHERE { Y dbo:director ?X.},"the director of (dbo:Film,Y) ",,2,
budget-of,noun,budget,budgets,of,NounPPFrame,range,domain,1,dbo:budget,dbo:Film,xsd:double,"What (xsd:double, X) is the budget/budgets of (dbo:Film,Y?) ",SELECT ?X WHERE { Y dbo:budget ?X.},FALSE,FALSE,"List the (xsd:double, X) budgets of (dbo:Film,Y?) ",SELECT ?X WHERE { Y dbo:budget ?X.},"the budget of (dbo:Film,Y) ",,2,
musicComposer-of,noun,music composer,music composers,of,NounPPFrame,range,domain,1,dbo:musicComposer,dbo:Film,dbo:Person,-,SELECT ?X WHERE { Y dbo:musicComposer ?X.},"Which person,Who (dbo:Person, X) is,was the music composer of (dbo:Film,Y?) (X dbo:musicComposer Y)",SELECT ?X WHERE { Y dbo:musicComposer ?X.},"List the (dbo:Person, X) music composers of (dbo:Film,Y?) ",SELECT ?X WHERE { Y dbo:musicComposer ?X.},"the music composer of (dbo:Film,Y) ",,2,
alterEgo-of,noun,elevation,-,of,NounPPFrame,range,domain,1,dbo:areaUrban,dbo: PopulatedPlace,xsd:double,"What (xsd:double, X) is the elevation/- of (dbo: PopulatedPlace,Y?) ",SELECT ?X WHERE { Y dbo:areaUrban ?X.},FALSE,FALSE,"List the (xsd:double, X) - of (dbo: PopulatedPlace,Y?) ",SELECT ?X WHERE { Y dbo:areaUrban ?X.},"the elevation of (dbo: PopulatedPlace,Y) ",,2,
areaCode_of,noun,area code,-,of,NounPPFrame,range,domain,1,dbo:areaCode,dbo:Place,xsd:string,"What (xsd:string, X) is the area code/- of (dbo:Place,Y?) ",SELECT ?X WHERE { Y dbo:areaCode ?X.},FALSE,FALSE,"List the (xsd:string, X) - of (dbo:Place,Y?) ",SELECT ?X WHERE { Y dbo:areaCode ?X.},"the area code of (dbo:Place,Y) ",,2,
artisticMovement_of,noun,artistic movement,artistic movements,of,NounPPFrame,range,domain,1,dbo:movement,dbo:Artist,owl:Thing,"What (owl:Thing, X) is the artistic movement/artistic movements of (dbo:Artist,Y?) ",SELECT ?X WHERE { Y dbo:movement ?X.},FALSE,FALSE,"List the (owl:Thing, X) artistic movements of (dbo:Artist,Y?) ",SELECT ?X WHERE { Y dbo:movement ?X.},"the artistic movement of (dbo:Artist,Y) ",,2,
author_of,noun,author,authors,of,NounPPFrame,range,domain,1,dbo:author,dbo:Work,dbo:Person,"What (dbo:Person, X) is the author/authors of (dbo:Work,Y?) ",SELECT ?X WHERE { Y dbo:author ?X.},"Which person,Who (dbo:Person, X) is,was the author of (dbo:Work,Y?) (X dbo:author Y)",SELECT ?X WHERE { Y dbo:author ?X.},"List the (dbo:Person, X) authors of (dbo:Work,Y?) ",SELECT ?X WHERE { Y dbo:author ?X.},"the author of (dbo:Work,Y) ",,2,
birthYear_of,noun,birth year,-,of,NounPPFrame,range,domain,1,dbo:birthYear,dbo:Person,xsd:gYear,"What (xsd:gYear, X) is the birth year/- of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:birthYear ?X.},FALSE,FALSE,"List the (xsd:gYear, X) - of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:birthYear ?X.},"the birth year of (dbo:Person,Y) ",,2,
causeOfDeath_of,noun,cause of death,causes of death,of ,NounPPFrame,range,domain,1,dbo:deathCause,dbo:Person,owl:Thing,"What (owl:Thing, X) is the cause of death/causes of death of  (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:deathCause ?X.},FALSE,FALSE,"List the (owl:Thing, X) causes of death of  (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:deathCause ?X.},"the cause of death of  (dbo:Person,Y) ",,2,
child_of,noun,child,children,of ,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person,"What (dbo:Person, X) is the child/children of  (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:child ?X.},"Who (dbo:Person, X) is the child of  (dbo:Person,Y?) (X dbo:child Y)",SELECT ?X WHERE { Y dbo:child ?X.},"List the (dbo:Person, X) children of  (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:child ?X.},"the child of  (dbo:Person,Y) ",,2,
cost_of,noun,cost,-,of,NounPPFrame,range,domain,1,dbo:budget,dbo:Film,xsd:double,"What (xsd:double, X) is the cost/- of (dbo:Film,Y?) ",SELECT ?X WHERE { Y dbo:budget ?X.},FALSE,FALSE,"List the (xsd:double, X) - of (dbo:Film,Y?) ",SELECT ?X WHERE { Y dbo:budget ?X.},"the cost of (dbo:Film,Y) ",,2,
currency_of,noun,currency,currencies,of,NounPPFrame,range,domain,1,dbo:currency,dbo:Country,dbo:Currency,"What (dbo:Currency, X) is the currency/currencies of (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:currency ?X.},FALSE,FALSE,"List the (dbo:Currency, X) currencies of (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:currency ?X.},"the currency of (dbo:Country,Y) ",,2,
deathDate-of,noun,death date,-,of,NounPPFrame,range,domain,1,dbo:deathDate,dbo:Person,xsd:date,"What (xsd:date, X) is the death date/- of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:deathDate ?X.},FALSE,FALSE,"List the (xsd:date, X) - of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:deathDate ?X.},"the death date of (dbo:Person,Y) ",,2,
developer_of,noun,developer,developers,of,NounPPFrame,range,domain,1,dbo:developer,dbo:Work,dbo:Agent,"What (dbo:Agent, X) is the developer/developers of (dbo:Work,Y?) ",SELECT ?X WHERE { Y dbo:developer ?X.},FALSE,FALSE,"List the (dbo:Agent, X) developers of (dbo:Work,Y?) ",SELECT ?X WHERE { Y dbo:developer ?X.},"the developer of (dbo:Work,Y) ",,2,
dissolutionDate_of,noun,dissolution date,-,of,NounPPFrame,range,domain,1,dbo:dissolutionDate,dbo:PopulatedPlace,xsd:date,"What (xsd:date, X) is the dissolution date/- of (dbo:PopulatedPlace,Y?) ",SELECT ?X WHERE { Y dbo:dissolutionDate ?X.},FALSE,FALSE,"List the (xsd:date, X) - of (dbo:PopulatedPlace,Y?) ",SELECT ?X WHERE { Y dbo:dissolutionDate ?X.},"the dissolution date of (dbo:PopulatedPlace,Y) ",,2,
